tijd s;pm 1.0 ug/m3;pm 2.5 ug/m3;pm 4.0 ug/m3;pm 10 ug/m3
1609459218;1.900189;2.974937;3.774507;4.165739
1609459219;1.939101;2.288243;2.485092;2.581412
1609459220;1.954973;2.292314;2.478638;2.569806
1609459221;1.97356;2.365148;2.595508;2.708223
1609459222;1.987806;2.405481;2.656766;2.779721
1609459223;2.004662;2.352964;2.546;2.640453
1609459224;2.004601;2.330184;2.504409;2.589659
1609459225;2.003433;2.299034;2.448485;2.521614
1609459226;2.026624;2.286366;2.405021;2.463079
1609459227;2.069332;2.319937;2.428992;2.482355
1609459228;2.114783;2.348861;2.442068;2.487675
1609459229;2.149402;2.400668;2.506461;2.558227
1609459231;2.18117;2.403494;2.483808;2.523107
1609459232;2.209304;2.336255;2.336254;2.336254
1609459233;2.220677;2.348281;2.348281;2.348281
1609459234;2.226615;2.354561;2.354561;2.354561
1609459235;2.272271;2.40284;2.402839;2.402839
1609459236;2.305463;2.437939;2.437938;2.437938
1609459237;2.321915;2.455338;2.455337;2.455337
1609459238;2.337268;2.471572;2.471571;2.471571
1609459239;2.357886;2.493375;2.493374;2.493374
1609459240;2.376252;2.512797;2.512796;2.512796
1609459241;2.392611;2.530096;2.530095;2.530095
1609459243;2.394558;2.532154;2.532153;2.532153
1609459244;2.406082;2.544341;2.54434;2.54434
1609459245;2.428093;2.567616;2.567615;2.567615
1609459246;2.440573;2.580814;2.580813;2.580813
1609459247;2.464174;2.658862;2.702826;2.724337
1609459248;2.502773;2.646587;2.646586;2.646586
1609459249;2.515345;2.659882;2.659881;2.659881
1609459250;2.538242;2.684095;2.684094;2.684094
1609459251;2.562962;2.710235;2.710234;2.710234
1609459252;2.614192;2.828522;2.881613;2.907592
1609459253;2.648415;2.800598;2.800597;2.800597
1609459255;2.693631;2.848413;2.848412;2.848412
1609459256;2.701979;2.85724;2.857239;2.857239
1609459257;2.700655;2.85584;2.855839;2.855839
1609459258;2.716753;2.872864;2.872862;2.872862
1609459259;2.746803;2.90464;2.904639;2.904639
1609459260;2.775232;2.934702;2.934701;2.934701
1609459261;2.783129;2.943053;2.943052;2.943052
1609459262;2.799561;2.960429;2.960428;2.960428
1609459263;2.841675;3.004964;3.004962;3.004962
1609459264;2.878926;3.044356;3.044355;3.044355
1609459265;2.905556;3.072515;3.072514;3.072514
1609459267;2.89963;3.066249;3.066248;3.066248
1609459268;2.89203;3.058212;3.058211;3.058211
1609459269;2.875887;3.041142;3.041141;3.041141
1609459270;2.846675;3.010251;3.01025;3.01025
1609459271;2.807168;2.968474;2.968473;2.968473
1609459272;2.747096;2.90495;2.904949;2.904949
1609459273;2.670967;2.824446;2.824445;2.824445
1609459274;2.601526;2.751015;2.751014;2.751014
1609459275;2.531886;2.677373;2.677372;2.677372
1609459276;2.45647;2.597624;2.597623;2.597623
1609459278;2.364825;2.500713;2.500712;2.500712
1609459279;2.368762;2.504876;2.504875;2.504875
1609459280;2.38613;2.523242;2.523241;2.523241
1609459281;2.401582;2.539582;2.539581;2.539581
1609459282;2.409015;2.547442;2.547441;2.547441
1609459283;2.403568;2.541682;2.541681;2.541681
1609459284;2.381431;2.518273;2.518272;2.518272
1609459285;2.364931;2.500825;2.500824;2.500824
1609459286;2.334227;2.468357;2.468356;2.468356
1609459287;2.317571;2.450743;2.450742;2.450742
1609459289;2.26626;2.396484;2.396484;2.396484
1609459290;2.238048;2.366651;2.36665;2.36665
1609459291;2.211749;2.338841;2.33884;2.33884
1609459292;2.212507;2.339643;2.339642;2.339642
1609459293;2.203619;2.330243;2.330242;2.330242
1609459294;2.21225;2.33937;2.339369;2.339369
1609459295;2.228674;2.356738;2.356737;2.356737
1609459296;2.238624;2.36726;2.367259;2.367259
1609459297;2.249542;2.378805;2.378804;2.378804
1609459298;2.248512;2.377716;2.377716;2.377716
1609459299;2.250437;2.379752;2.379751;2.379751
1609459300;2.254737;2.384299;2.384298;2.384298
1609459301;2.286162;2.417529;2.417529;2.417529
1609459302;2.332932;2.466987;2.466986;2.466986
1609459303;2.425419;2.564788;2.564787;2.564787
1609459305;2.456464;2.597617;2.597616;2.597616
1609459306;2.482291;2.624928;2.624927;2.624927
1609459307;2.503631;2.647495;2.647494;2.647494
1609459308;2.514815;2.659321;2.65932;2.65932
1609459309;2.542903;2.689023;2.689023;2.689023
1609459310;2.571781;2.719561;2.71956;2.71956
1609459311;2.588388;2.737122;2.737121;2.737121
1609459312;2.620134;2.770692;2.770691;2.770691
1609459313;2.625957;2.77685;2.776849;2.776849
1609459314;2.642282;2.794113;2.794112;2.794112
1609459315;2.629082;2.780154;2.780153;2.780153
1609459316;2.642588;2.794436;2.794436;2.794436
1609459317;2.677591;2.831451;2.83145;2.83145
1609459318;2.735968;2.893183;2.893182;2.893182
1609459319;2.813897;2.975589;2.975588;2.975588
1609459320;2.826114;2.988508;2.988507;2.988507
1609459321;2.820371;2.982435;2.982434;2.982434
1609459323;2.819071;2.98106;2.981059;2.981059
1609459324;2.80876;2.970157;2.970156;2.970156
1609459325;2.791255;2.951646;2.951645;2.951645
1609459326;2.755474;2.913809;2.913808;2.913808
1609459327;2.71787;2.874044;2.874043;2.874043
1609459328;2.660232;2.813095;2.813094;2.813094
1609459329;2.62481;2.775637;2.775636;2.775636
1609459330;2.588803;2.737561;2.73756;2.73756
1609459331;2.546372;2.692692;2.692691;2.692691
1609459332;2.49285;2.636095;2.636094;2.636094
1609459333;2.43088;2.570564;2.570563;2.570563
1609459334;2.362687;2.498452;2.498451;2.498451
1609459335;2.302757;2.435078;2.435077;2.435077
1609459336;2.262741;2.392763;2.392762;2.392762
1609459337;2.226635;2.354582;2.354581;2.354581
1609459338;2.172233;2.297054;2.297053;2.297053
1609459339;2.188435;2.314187;2.314186;2.314186
1609459340;2.236475;2.364987;2.364986;2.364986
1609459342;2.259333;2.389159;2.389158;2.389158
1609459343;2.28681;2.418215;2.418215;2.418215
1609459344;2.317755;2.450938;2.450937;2.450937
1609459345;2.338576;2.472955;2.472954;2.472954
1609459346;2.369922;2.506102;2.506101;2.506101
1609459347;2.415791;2.554607;2.554606;2.554606
1609459348;2.454031;2.595045;2.595044;2.595044
1609459349;2.510954;2.655239;2.655238;2.655238
1609459350;2.563509;2.710813;2.710812;2.710812
1609459351;2.62462;2.775436;2.775435;2.775435
1609459352;2.67943;2.833396;2.833395;2.833395
1609459353;2.722277;2.878704;2.878703;2.878703
1609459354;2.742382;2.899965;2.899964;2.899964
1609459355;2.759282;2.917836;2.917835;2.917835
1609459356;2.771819;2.931094;2.931092;2.931092
1609459357;2.792123;2.952564;2.952563;2.952563
1609459358;2.812203;2.973798;2.973797;2.973797
1609459360;2.812968;2.974607;2.974607;2.974607
1609459361;2.79177;2.952191;2.95219;2.95219
1609459362;2.765615;2.924533;2.924532;2.924532
1609459363;2.748328;2.906253;2.906252;2.906252
1609459364;2.725777;2.882405;2.882405;2.882405
1609459365;2.705497;2.86096;2.860959;2.860959
1609459366;2.693571;2.848349;2.848348;2.848348
1609459367;2.669597;2.822998;2.822997;2.822997
1609459368;2.636105;2.787581;2.78758;2.78758
1609459369;2.595237;2.744365;2.744364;2.744364
1609459370;2.548804;2.695264;2.695263;2.695263
1609459371;2.523572;2.668582;2.668581;2.668581
1609459372;2.509454;2.653653;2.653652;2.653652
1609459373;2.491858;2.635045;2.635044;2.635044
1609459374;2.518866;2.663605;2.663604;2.663604
1609459375;2.544254;2.690452;2.690451;2.690451
1609459376;2.602486;2.752031;2.75203;2.75203
1609459377;2.636252;2.787737;2.787736;2.787736
1609459378;2.649863;2.802129;2.802128;2.802128
1609459379;2.653322;2.805787;2.805786;2.805786
1609459380;2.654835;2.807387;2.807386;2.807386
1609459381;2.642134;2.793957;2.793956;2.793956
1609459382;2.611737;2.761812;2.761811;2.761811
1609459384;2.598864;2.7482;2.748199;2.748199
1609459385;2.619249;2.769756;2.769755;2.769755
1609459386;2.719245;2.875499;2.875498;2.875498
1609459387;2.765938;2.924874;2.924873;2.924873
1609459388;2.796701;2.957405;2.957404;2.957404
1609459389;2.818883;2.980862;2.980861;2.980861
1609459390;2.827595;2.990074;2.990073;2.990073
1609459391;2.869487;3.034374;3.034373;3.034373
1609459392;2.906281;3.073281;3.07328;3.07328
1609459393;2.925954;3.094085;3.094084;3.094084
1609459394;2.982052;3.153407;3.153406;3.153406
1609459395;3.041849;3.21664;3.216639;3.216639
1609459396;3.078799;3.255713;3.255712;3.255712
1609459397;3.134741;3.31487;3.314869;3.314869
1609459398;3.180263;3.363007;3.363006;3.363006
1609459399;3.210577;3.395063;3.395062;3.395062
1609459400;3.234581;3.420447;3.420446;3.420446
1609459401;3.246923;3.433498;3.433497;3.433497
1609459402;3.230762;3.416409;3.416407;3.416407
1609459403;3.21692;3.401771;3.40177;3.40177
1609459404;3.211405;3.395939;3.395938;3.395938
1609459405;3.187447;3.370604;3.370603;3.370603
1609459406;3.164246;3.347698;3.349046;3.349706
1609459407;3.161343;3.345437;3.347455;3.348441
1609459408;3.177868;3.363754;3.366467;3.367797
1609459409;3.178407;3.365109;3.368472;3.370117
1609459410;3.159683;3.345996;3.349928;3.351855
1609459411;3.138164;3.323862;3.32831;3.330487
1609459412;3.120907;3.306146;3.311034;3.313425
1609459413;3.126209;3.312374;3.317776;3.320421
1609459414;3.168665;3.357937;3.363893;3.366807
1609459415;3.247101;3.441649;3.448241;3.45147
1609459416;3.573953;3.788553;3.796198;3.79994
1609459417;3.968875;4.207667;4.21655;4.220899
1609459418;4.216699;4.470791;4.480553;4.485332
1609459419;4.368368;4.631928;4.642313;4.647399
1609459420;4.50036;4.77229;4.783327;4.78873
1609459422;4.668505;4.951051;4.96288;4.968668
1609459423;4.879755;5.175828;5.188804;5.195153
1609459424;5.09873;5.408602;5.422582;5.429428
1609459425;5.275507;5.596748;5.611732;5.619066
1609459426;5.556904;5.895912;5.912221;5.920202
1609459427;5.892722;6.252651;6.270304;6.278941
